year,region,metric,dim_name,dim_value,value
2015,LIMA,siniestros_total,,,53305.0
2015,CALLAO,siniestros_total,,,3554.0
2015,LORETO,siniestros_total,,,394.0
2015,MADRE DE DIOS,siniestros_total,,,488.0
2015,MOQUEGUA,siniestros_total,,,573.0
2015,PASCO,siniestros_total,,,95.0
2015,PIURA,siniestros_total,,,3867.0
2015,PUNO,siniestros_total,,,922.0
2015,SAN MARTÍN,siniestros_total,,,1168.0
2015,TACNA,siniestros_total,,,1142.0
2015,TUMBES,siniestros_total,,,433.0
2015,UCAYALI,siniestros_total,,,815.0
2015,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,95532.0
2016,AMAZONAS,siniestros_total,,,628.0
2016,ANCASH,siniestros_total,,,1531.0
2016,APURIMAC,siniestros_total,,,363.0
2016,AREQUIPA,siniestros_total,,,5410.0
2016,AYACUCHO,siniestros_total,,,970.0
2016,CAJAMARCA,siniestros_total,,,1312.0
2016,CUSCO,siniestros_total,,,3366.0
2016,HUANCAVELICA,siniestros_total,,,295.0
2016,HUÁNUCO,siniestros_total,,,2067.0
2016,ICA,siniestros_total,,,1047.0
2016,JUNIN,siniestros_total,,,2378.0
2016,LA LIBERTAD,siniestros_total,,,4704.0
2016,LAMBAYEQUE,siniestros_total,,,2804.0
2016,LIMA,siniestros_total,,,49304.0
2016,CALLAO,siniestros_total,,,3430.0
2016,LORETO,siniestros_total,,,359.0
2016,MADRE DE DIOS,siniestros_total,,,608.0
2016,MOQUEGUA,siniestros_total,,,559.0
2016,PASCO,siniestros_total,,,44.0
2016,PIURA,siniestros_total,,,3480.0
2016,PUNO,siniestros_total,,,765.0
2016,SAN MARTÍN,siniestros_total,,,2002.0
2016,TACNA,siniestros_total,,,910.0
2016,TUMBES,siniestros_total,,,534.0
2016,UCAYALI,siniestros_total,,,434.0
2016,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,89304.0
2017,AMAZONAS,siniestros_total,,,423.0
2017,ANCASH,siniestros_total,,,1973.0
2017,APURIMAC,siniestros_total,,,473.0
2017,AREQUIPA,siniestros_total,,,5157.0
2017,AYACUCHO,siniestros_total,,,846.0
2017,CAJAMARCA,siniestros_total,,,1777.0
2017,CUSCO,siniestros_total,,,3235.0
2017,HUANCAVELICA,siniestros_total,,,220.0
2017,HUÁNUCO,siniestros_total,,,1724.0
2017,ICA,siniestros_total,,,1181.0
2017,JUNIN,siniestros_total,,,2457.0
2017,LA LIBERTAD,siniestros_total,,,4604.0
2017,LAMBAYEQUE,siniestros_total,,,3188.0
2017,LIMA,siniestros_total,,,49208.0
2017,CALLAO,siniestros_total,,,3402.0
2017,LORETO,siniestros_total,,,442.0
2017,MADRE DE DIOS,siniestros_total,,,657.0
2017,MOQUEGUA,siniestros_total,,,583.0
2017,PASCO,siniestros_total,,,121.0
2017,PIURA,siniestros_total,,,2303.0
2017,PUNO,siniestros_total,,,968.0
2017,SAN MARTÍN,siniestros_total,,,1533.0
2017,TACNA,siniestros_total,,,781.0
2017,TUMBES,siniestros_total,,,462.0
2017,UCAYALI,siniestros_total,,,450.0
2017,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,88168.0
2018,AMAZONAS,siniestros_total,,,362.0
2018,ANCASH,siniestros_total,,,2061.0
2018,APURIMAC,siniestros_total,,,818.0
2018,AREQUIPA,siniestros_total,,,5101.0
2018,AYACUCHO,siniestros_total,,,696.0
2018,CAJAMARCA,siniestros_total,,,2077.0
2018,CUSCO,siniestros_total,,,3417.0
2018,HUANCAVELICA,siniestros_total,,,4010.0
2018,HUÁNUCO,siniestros_total,,,257.0
2018,ICA,siniestros_total,,,809.0
2018,JUNIN,siniestros_total,,,1303.0
2018,LA LIBERTAD,siniestros_total,,,2429.0
2018,LAMBAYEQUE,siniestros_total,,,5646.0
2018,LIMA,siniestros_total,,,3176.0
2018,CALLAO,siniestros_total,,,49336.0
2018,LORETO,siniestros_total,,,279.0
2018,MADRE DE DIOS,siniestros_total,,,434.0
2018,MOQUEGUA,siniestros_total,,,509.0
2018,PASCO,siniestros_total,,,258.0
2018,PIURA,siniestros_total,,,2512.0
2018,PUNO,siniestros_total,,,999.0
2018,SAN MARTÍN,siniestros_total,,,1343.0
2018,TACNA,siniestros_total,,,983.0
2018,TUMBES,siniestros_total,,,503.0
2018,UCAYALI,siniestros_total,,,738.0
2018,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,90056.0
2019,AMAZONAS,siniestros_total,,,501.0
2019,ANCASH,siniestros_total,,,2329.0
2019,APURIMAC,siniestros_total,,,808.0
2019,AREQUIPA,siniestros_total,,,5142.0
2019,AYACUCHO,siniestros_total,,,701.0
2019,CAJAMARCA,siniestros_total,,,2087.0
2019,CUSCO,siniestros_total,,,4050.0
2019,HUANCAVELICA,siniestros_total,,,294.0
2019,HUÁNUCO,siniestros_total,,,1062.0
2019,ICA,siniestros_total,,,1734.0
2019,JUNIN,siniestros_total,,,3168.0
2019,LA LIBERTAD,siniestros_total,,,6297.0
2019,LAMBAYEQUE,siniestros_total,,,3830.0
