year,region,siniestros_por_causa__desacato_de_senal_de_transito,siniestros_por_causa__desacato_de_senal_de_transito_de_parte_del_conductor,siniestros_por_causa__desacato_de_senal_de_transito_de_parte_del_peaton,siniestros_por_causa__ebriedad_del_condutor,siniestros_por_causa__ebriedad_del_peaton,siniestros_por_causa__exceso_de_carga,siniestros_por_causa__exceso_de_velocidad,siniestros_por_causa__factor_ambiental,siniestros_por_causa__falla_de_luces,siniestros_por_causa__falla_mecanica,siniestros_por_causa__falta_de_luces,siniestros_por_causa__imprudencia_del_conductor,siniestros_por_causa__imprudencia_del_pasajero,siniestros_por_causa__imprudencia_del_peaton,siniestros_por_causa__invacion_de_carril,siniestros_por_causa__no_hay_certeza_de_la_causa,siniestros_por_causa__no_identifica_la_causa,siniestros_por_causa__otros,siniestros_por_causa__pista_en_mal_estado,siniestros_por_causa__senalizacion_defectuosa,siniestros_por_causa__vehiculo_mal_estacionado,siniestros_por_dia__domingo,siniestros_por_dia__jueves,siniestros_por_dia__lunes,siniestros_por_dia__martes,siniestros_por_dia__miercoles,siniestros_por_dia__sabado,siniestros_por_dia__viernes,siniestros_por_franja_horaria__00_01_a_02_00,siniestros_por_franja_horaria__02_00_a_08_00,siniestros_por_franja_horaria__02_01_a_04_00,siniestros_por_franja_horaria__04_01_a_06_00,siniestros_por_franja_horaria__06_01_a_08_00,siniestros_por_franja_horaria__08_00_a_14_00,siniestros_por_franja_horaria__08_01_a_10_00,siniestros_por_franja_horaria__10_01_a_12_00,siniestros_por_franja_horaria__12_01_a_14_00,siniestros_por_franja_horaria__14_00_a_20_00,siniestros_por_franja_horaria__14_01_a_16_00,siniestros_por_franja_horaria__16_01_a_18_00,siniestros_por_franja_horaria__18_01_a_20_00,siniestros_por_franja_horaria__20_00_a_02_00,siniestros_por_franja_horaria__20_01_a_22_00,siniestros_por_franja_horaria__22_01_a_24_00,siniestros_por_tipo__atropello,siniestros_por_tipo__atropello_y_fuga,siniestros_por_tipo__caida_de_pasajero,siniestros_por_tipo__choque,siniestros_por_tipo__choque_y_atropello,siniestros_por_tipo__choque_y_fuga,siniestros_por_tipo__colision,siniestros_por_tipo__colision_y_fuga,siniestros_por_tipo__despiste,siniestros_por_tipo__despiste_y_volcadura,siniestros_por_tipo__incendio,siniestros_por_tipo__otro,siniestros_por_tipo__volcadura,siniestros_rurales_victimas__heridos,siniestros_rurales_victimas__muertos,siniestros_total__total
2008,CALLAO,22.0,0.0,0.0,246.0,0.0,21.0,1366.0,0.0,16.0,118.0,0.0,790.0,90.0,300.0,0.0,0.0,0.0,241.0,57.0,32.0,0.0,325.0,405.0,475.0,289.0,374.0,747.0,684.0,0.0,380.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0,945.0,0.0,0.0,0.0,778.0,0.0,0.0,946.0,200.0,102.0,1401.0,0.0,328.0,0.0,0.0,0.0,0.0,5.0,221.0,96.0,0.0,0.0,3299.0
2008,CUSCO,15.0,0.0,0.0,311.0,0.0,31.0,650.0,0.0,14.0,86.0,0.0,831.0,72.0,327.0,0.0,0.0,0.0,110.0,54.0,13.0,0.0,304.0,326.0,350.0,317.0,325.0,480.0,412.0,0.0,255.0,0.0,0.0,0.0,525.0,0.0,0.0,0.0,587.0,0.0,0.0,0.0,407.0,0.0,0.0,666.0,169.0,90.0,958.0,0.0,312.0,0.0,0.0,0.0,0.0,16.0,163.0,140.0,0.0,0.0,2514.0
2008,ENERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,75.0,0.0
2008,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,55.0,0.0
2008,HUANCAVELICA,0.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,6.0,7.0,3.0,5.0,3.0,15.0,8.0,0.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,47.0
2008,HUÁNUCO,1.0,0.0,0.0,63.0,0.0,1.0,122.0,0.0,3.0,21.0,0.0,151.0,16.0,48.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,67.0,68.0,53.0,36.0,44.0,88.0,100.0,0.0,108.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,189.0,0.0,0.0,97.0,18.0,14.0,231.0,0.0,42.0,0.0,0.0,0.0,0.0,2.0,36.0,22.0,0.0,0.0,462.0
2008,ICA,4.0,0.0,0.0,102.0,0.0,1.0,483.0,0.0,0.0,21.0,0.0,589.0,6.0,130.0,0.0,0.0,0.0,46.0,21.0,1.0,0.0,221.0,193.0,192.0,185.0,175.0,228.0,210.0,0.0,181.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,524.0,0.0,0.0,0.0,295.0,0.0,0.0,272.0,84.0,13.0,694.0,0.0,196.0,0.0,0.0,0.0,0.0,1.0,78.0,66.0,0.0,0.0,1404.0
2008,JUNIN,36.0,0.0,0.0,169.0,0.0,19.0,588.0,0.0,8.0,54.0,0.0,583.0,18.0,125.0,0.0,0.0,0.0,276.0,13.0,0.0,0.0,382.0,204.0,208.0,226.0,172.0,394.0,303.0,0.0,349.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,462.0,0.0,0.0,461.0,114.0,56.0,773.0,0.0,207.0,0.0,0.0,0.0,0.0,32.0,168.0,78.0,0.0,0.0,1889.0
2008,JUNIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,46.0,0.0
2008,LA LIBERTAD,62.0,0.0,0.0,318.0,0.0,28.0,1364.0,0.0,81.0,168.0,0.0,1072.0,123.0,462.0,0.0,0.0,0.0,138.0,122.0,82.0,0.0,571.0,466.0,745.0,574.0,449.0,645.0,576.0,0.0,585.0,0.0,0.0,0.0,1084.0,0.0,0.0,0.0,983.0,0.0,0.0,0.0,973.0,0.0,0.0,848.0,170.0,134.0,1816.0,0.0,677.0,0.0,0.0,0.0,0.0,7.0,262.0,106.0,0.0,0.0,4020.0
2008,LAMBAYEQUE,0.0,0.0,0.0,63.0,0.0,0.0,160.0,0.0,1.0,31.0,0.0,259.0,3.0,50.0,0.0,0.0,0.0,12.0,18.0,0.0,0.0,103.0,66.0,93.0,85.0,94.0,74.0,82.0,0.0,119.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,297.0,0.0,0.0,0.0,175.0,0.0,0.0,96.0,25.0,5.0,340.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,111.0,0.0,0.0,597.0
2008,LIMA,1156.0,0.0,0.0,4860.0,0.0,390.0,15959.0,0.0,453.0,1442.0,0.0,12127.0,1678.0,4133.0,0.0,0.0,0.0,9085.0,792.0,609.0,0.0,6027.0,7307.0,6850.0,6366.0,6734.0,9930.0,9470.0,0.0,7747.0,0.0,0.0,0.0,15992.0,0.0,0.0,0.0,15624.0,0.0,0.0,0.0,13553.0,0.0,0.0,11484.0,2711.0,1933.0,22532.0,0.0,7927.0,0.0,0.0,0.0,0.0,260.0,4738.0,1099.0,0.0,0.0,52684.0
2008,LORETO,9.0,0.0,0.0,242.0,0.0,22.0,288.0,0.0,8.0,37.0,0.0,330.0,32.0,64.0,0.0,0.0,0.0,5.0,25.0,19.0,0.0,173.0,149.0,130.0,102.0,121.0,229.0,177.0,0.0,158.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,280.0,0.0,0.0,225.0,118.0,24.0,479.0,0.0,164.0,0.0,0.0,0.0,0.0,6.0,49.0,16.0,0.0,0.0,1081.0
2008,MADRE DE DIOS,2.0,0.0,0.0,24.0,0.0,11.0,20.0,0.0,5.0,9.0,0.0,11.0,9.0,8.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,8.0,7.0,6.0,5.0,14.0,38.0,34.0,0.0,5.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,24.0,0.0,0.0,32.0,13.0,27.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,0.0,0.0,112.0
2008,MARZO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,86.0,0.0
2008,MAYO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,61.0,0.0
2008,MOQUEGUA,0.0,0.0,0.0,43.0,0.0,0.0,131.0,0.0,0.0,14.0,0.0,156.0,5.0,17.0,0.0,0.0,0.0,178.0,8.0,2.0,0.0,101.0,65.0,75.0,74.0,64.0,87.0,88.0,0.0,135.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,134.0,0.0,0.0,116.0,28.0,21.0,224.0,0.0,79.0,0.0,0.0,0.0,0.0,2.0,59.0,25.0,0.0,0.0,554.0
